Consortium,Species,equation,Bio1_T1,Bio1_T2,Bio1_T3,Bio2_T1,Bio2_T2,Bio2_T3,Bio3_T1,Bio3_T2,Bio3_T3,Avg_Bio1,Avg_Bio2,Avg_Bio3,Avg Post Invasion,Std Post Invasion,Avg_Bio1.1,Avg_Bio2.1,Avg_Bio3.1,Avg Pre Invasion,Std Pre Invasion,solutions,std_solutions,solutions_pre,std_solutions_pre,percentage_post,percentage_post_std,percentage_pre,percentage_pre_std
4,AM,Y = -2.536*X + 23.01,20.3862,20.4726,20.3542,20.3748,20.6603,20.4181,20.4318,20.4807,20.2537,20.404333333333334,20.484399999999997,20.38873333333333,20.425822222222223,0.04190749365795223,21.011433333333333,21.120366666666666,20.992966666666668,21.04158888888889,0.056212146659762874,1.01899754644234,0.016525036931369176,0.776187346652646,0.022165672973092614,56.2183712730815,0.7573747163320355,60.8020633627464,0.9541389654157115
4,LB,Y = -4.402*X + 24.11,21.4308,21.5499,21.4133,21.5219,21.7482,21.509,21.4208,21.4778,21.3062,21.46466666666667,21.593033333333334,21.401600000000002,21.486433333333338,0.0796535042590134,21.927699999999998,22.023333333333337,21.902833333333334,21.951288888888893,0.051944773617497254,0.595994245040132,0.018094844220584595,0.490393255590892,0.011800266610062983,32.8811642984481,0.7568364650334967,38.4145940122422,0.9062941875191679
5,EC,Y = -4.708*X + 16.81,15.8257,15.8972,15.808,15.8397,15.8396,15.8342,15.828,15.9181,15.7269,15.843633333333335,15.837833333333334,15.824333333333334,15.835266666666667,0.008085515169459713,16.865,16.944233333333333,16.81726666666667,16.8755,0.05236297108396986,0.207037666383461,0.001717399143895436,0.01,0.011122126398464285,11.8749095769725,0.21439658570287443,0.713664653207706,0.7882850603336341
5,AM,Y = -2.536*X + 23.01,21.4074,21.5432,21.377,21.715,21.5954,21.4229,21.4634,21.5313,21.2645,21.44253333333333,21.577766666666665,21.419733333333337,21.48001111111111,0.06974750404844261,21.676599999999997,21.813666666666666,21.679833333333335,21.723366666666664,0.06386538504861176,0.603307921486155,0.027502959009638252,0.507347528916931,0.025183511454499905,34.6034957786390,1.0458227206805912,36.2075998280288,1.3404931845057677
5,FP,Y = -2.274*X + 22.44,20.2812,20.4309,20.276,20.3331,20.3872,20.2813,20.3372,20.3845,20.1509,20.32936666666667,20.33386666666667,20.290866666666666,20.318033333333336,0.01929738036337934,20.413466666666665,20.505,20.37176666666667,20.43007777777778,0.05564606627029343,0.933142773380239,0.00848609514660481,0.883870810124107,0.024470565642169494,53.5215946443885,0.8756571106588901,63.0787355187635,1.3970258514827736
6,BOB,Y = -5.763*X + 35.92,31.1429,31.3292,31.1289,31.4096,31.173,31.1611,31.2299,31.3724,30.9651,31.200333333333333,31.2479,31.18913333333333,31.212455555555554,0.025476675365015664,32.70786666666667,32.8055,32.7037,32.739022222222225,0.04703765499740016,0.816856575471880,0.00442073145323888,0.551965604334162,0.008162008502064924,46.2130882568918,0.695594426010272,48.7790016812051,1.0653938846864868
6,EC,Y = -4.708*X + 16.81,15.4454,15.4938,15.4392,15.5286,15.5891,15.4698,15.458,15.5543,15.3947,15.459466666666666,15.529166666666667,15.469,15.485877777777779,0.03085630175547155,16.85833333333333,16.881333333333334,16.8536,16.86442222222222,0.012113088523587353,0.281249409987727,0.006554014816370337,0.01,0.002572873518179132,15.9114882541691,0.3879824885377231,0.883732632942725,0.22617077747081527
6,FP,Y = -2.274*X + 22.44,20.8784,20.8793,20.8634,21.1214,20.951,20.9239,20.8925,20.9427,20.8058,20.8737,20.99876666666667,20.880333333333336,20.917600000000004,0.05745735294466184,21.091733333333334,21.216066666666666,21.1264,21.144733333333335,0.052388152463304936,0.669481090589268,0.025267085727643728,0.569598358252711,0.023037885867768223,37.8754234889391,0.904063034979493,50.3372656858522,1.0803949344169868
7,BA,Y = -2.665*X + 14.77,10.1947,10.2333,10.1886,10.3651,10.2716,10.2401,10.2249,10.2591,10.1671,10.205533333333333,10.292266666666665,10.217033333333333,10.238277777777776,0.03846351164928902,11.3576,11.410400000000001,11.342566666666665,11.370188888888888,0.029088375345608063,1.70045861997082,0.01443283739185329,1.27572649572650,0.010914962606231919,76.5591029702152,0.637904077267601,76.1307459898209,1.0003210651492784
7,BOB,Y = -5.763*X + 35.92,33.4467,33.7337,33.4152,33.6395,33.731,33.5581,33.5044,33.5225,33.3286,33.531866666666666,33.64286666666666,33.45183333333333,33.54218888888889,0.07832983601333729,33.6445,33.80566666666667,33.5675,33.672555555555554,0.09923432177066464,0.412599533422021,0.01359185077448157,0.389978213507626,0.017219212523106826,18.5763121746893,0.5220225550308296,23.2724901564468,0.8238145332101043
7,BOV,Y = -2.401*X + 10.82,10.5338,10.5964,10.5292,10.6487,10.5932,10.5529,10.5305,10.5938,10.4667,10.553133333333333,10.598266666666667,10.530333333333333,10.560577777777779,0.02822881812686336,10.8299,10.881866666666667,10.805333333333332,10.839033333333333,0.03190507912659246,0.108047572770604,0.01175710875754409,0.01,0.013288246200163459,4.86458485509544,0.5054543277369289,0.596763853732349,0.7882956326871126
8,BA,Y = -2.665*X + 14.77,11.0174,11.0635,10.9996,11.0514,11.108,11.0318,11.0325,11.0467,10.9475,11.026833333333334,11.063733333333332,11.008899999999999,11.033155555555554,0.02282763648857022,11.573366666666667,11.615833333333335,11.551833333333335,11.580344444444444,0.026589685181000123,1.40219303731499,0.008565717256499145,1.19686887638107,0.009977367797748639,76.9650059727011,0.7225468852178605,78.0450142273099,1.0455645484598266
8,BT,Y = -4.826*X + 20.31,18.4369,18.5772,18.4131,18.4525,18.5977,18.453,18.4901,18.4223,18.4535,18.475733333333334,18.50106666666667,18.4553,18.47736666666667,0.01871982510206461,18.689833333333333,18.802300000000002,18.708000000000002,18.73337777777778,0.049296460193957344,0.379741677027213,0.003878952569843475,0.326693373854584,0.01021476589182705,20.8436496706961,0.2710503212721674,21.3029092105248,0.594790573659598
8,BOV,Y = -2.401*X + 10.82,10.7043,10.7522,10.6931,10.7266,10.8605,10.7406,10.7022,10.633,10.7048,10.716533333333333,10.7759,10.68,10.724144444444443,0.03951918740105267,10.838033333333334,10.918700000000001,10.822166666666668,10.859633333333335,0.04226575533542595,0.0399231801564169,0.016459469971283912,0.01,0.01760339664116033,2.19134435660274,0.8837190306947804,0.652076562165204,1.1404073667719463
9,BOB,Y = -5.763*X + 35.92,31.9641,32.0411,31.9242,32.1873,32.116,31.9431,31.9977,31.911,31.9563,31.976466666666667,32.08213333333334,31.955,32.004533333333335,0.05556692328142057,33.5895,33.8307,33.4735,33.631233333333334,0.1487821972623811,0.679414656718144,0.009642013409928955,0.397148475909538,0.025816796332184817,43.4114779463678,0.5652362883932285,37.4831634331902,1.696015561547271
9,BT,Y = -4.826*X + 20.31,16.412,16.544,16.3881,16.544,16.7221,16.4737,16.4392,16.3213,16.4435,16.448033333333335,16.579933333333333,16.401333333333334,16.476433333333336,0.07562808120444814,17.097533333333335,17.262299999999996,17.124866666666666,17.161566666666662,0.07209799401329037,0.794356955380577,0.01567096585255867,0.652389832849842,0.014939493164792867,50.7557632280424,0.594319584381178,61.5730292577839,1.8141612573741677
9,BOV,Y = -2.401*X + 10.82,10.5846,10.6181,10.5713,10.6086,10.6142,10.6113,10.5933,10.5752,10.6308,10.591333333333333,10.611366666666667,10.599766666666667,10.600822222222222,0.008212561892583228,10.818133333333334,10.888333333333334,10.808066666666667,10.838177777777778,0.035702654049423806,0.0912860382248138,0.003420475590413673,0.01,0.014869910058069058,5.83275882558977,0.21692851063729013,0.943807309025859,1.3904411585991012
10,BOB,Y = -5.763*X + 35.92,31.9141,32.2546,31.9503,32.0676,31.7676,31.953,32.0304,32.4065,32.0652,32.03966666666667,31.9294,32.16736666666667,32.04547777777778,0.09723634564081836,33.5895,33.8307,33.4735,33.631233333333334,0.1487821972623811,0.672309946594173,0.016872522235089078,0.397148475909538,0.025816796332184817,43.2842530758471,0.6754311079816555,37.4831634331902,1.6469895795513172
10,BT,Y = -4.826*X + 20.31,16.4102,16.5456,16.3908,16.49,16.6221,16.4122,16.4097,16.3415,16.4913,16.448866666666664,16.5081,16.414166666666663,16.45704444444444,0.03878165214647203,17.097533333333335,17.262299999999996,17.124866666666666,17.161566666666662,0.07209799401329037,0.798374545287103,0.008035982624631585,0.652389832849842,0.014939493164792867,51.4004679576472,0.6421336625922074,61.5730292577839,1.6878764531215107
10,EC,Y = -4.708*X + 16.81,16.3927,16.412,16.3837,16.4222,16.4968,16.4597,16.4378,16.3084,16.4785,16.396133333333335,16.459566666666664,16.40823333333333,16.42131111111111,0.027498098699704286,16.849266666666665,16.90426666666667,16.794766666666664,16.849433333333334,0.0447033431511452,0.0825592372321347,0.005840717650744325,0.01,0.009495187585205012,5.31527896650575,0.3617443288068358,0.943807309025859,0.8881022331505521
11,BA,Y = -2.665*X + 14.77,11.0101,11.0445,11.0071,11.0937,11.0199,11.0649,11.0453,11.0331,10.9906,11.020566666666667,11.0595,11.023000000000001,11.034355555555557,0.01780753759119182,11.573366666666667,11.615833333333335,11.551833333333335,11.580344444444444,0.026589685181000123,1.40174275588910,0.006682002848477231,1.19686887638107,0.009977367797748639,73.0240807302318,0.3377599838895859,78.0450142273099,0.5951001735936813
11,BT,Y = -4.826*X + 20.31,18.3452,18.426,18.3277,18.4005,18.4618,18.3691,18.3903,18.4515,18.2505,18.3663,18.410466666666668,18.364099999999997,18.380288888888888,0.02135780425205753,18.689833333333333,18.802300000000002,18.708000000000002,18.73337777777778,0.049296460193957344,0.399857254685270,0.00442557071115987,0.326693373854584,0.01021476589182705,20.8306469386286,0.21173723877325917,21.3029092105248,0.5465453518642317
11,EC,Y = -4.708*X + 16.81,16.2033,16.2947,16.1953,16.2219,16.4231,16.2645,16.2363,16.2984,16.1542,16.231099999999998,16.30316666666667,16.229633333333336,16.254633333333334,0.03432347215450127,16.8152,16.863266666666664,16.865933333333334,16.848133333333333,0.023312816376563742,0.117962333616539,0.007290457127124313,0.01,0.004951745194682188,6.14527233113963,0.35738051711777097,0.652076562165204,0.3208436491228737
12,FP,Y = -2.274*X + 22.44,19.7077,19.704,19.6854,19.6904,19.8874,19.7074,19.7653,19.7219,19.6825,19.699033333333333,19.761733333333332,19.723233333333337,19.727999999999998,0.025818124555349337,20.375,20.473366666666667,20.34926666666667,20.39921111111111,0.0534779451482937,1.19261213720317,0.011353616778957493,0.897444542167498,0.023517126274535487,62.6289487972270,0.2927434776621959,68.6967642308114,0.6879198913058473
12,BT,Y = -4.826*X + 20.31,17.3769,17.5317,17.355,17.5059,17.3724,17.4417,17.3843,17.376,17.3671,17.4212,17.439999999999998,17.3758,17.412333333333333,0.026949005341362773,18.3466,18.4203,18.38723333333333,18.384711111111113,0.030140711158429152,0.600428235944191,0.0055841287487283,0.398940921858452,0.006245485113640521,31.5309462920148,0.2761239705832876,30.5377649127400,0.6495636932702793
12,EC,Y = -4.708*X + 16.81,16.2557,16.3428,16.2377,16.3106,16.2667,16.3091,16.3105,16.3342,16.2105,16.278733333333335,16.295466666666666,16.285066666666665,16.286422222222225,0.006898273178085587,16.865,16.86446666666667,16.8232,16.85088888888889,0.019580211729141993,0.111210233172849,0.0014652236996783319,0.01,0.004158923476878078,5.84010491075821,0.08218831863426597,0.765470856448642,0.31623812552264385
13,BT,Y = -4.826*X + 20.31,15.3446,15.4636,15.3329,15.4919,15.5404,15.3712,,,,15.380366666666667,15.467833333333333,,15.4241,0.04373333333333296,16.568933333333334,16.706033333333334,,16.637483333333336,0.06855000000000011,1.01241193535019,0.009062025141594066,0.760985633374775,0.014204309987567368,53.6310681718582,0.5442933342216318,52.3200602841851,0.5579202102872372
13,BA,Y = -2.665*X + 14.77,12.3902,12.4482,12.3822,12.4558,12.5986,12.4193,,,,12.406866666666666,12.491233333333334,,12.44905,0.042183333333333906,12.935066666666666,12.9619,,12.948483333333332,0.013416666666667076,0.870900562851782,0.01582864290181385,0.683495934959350,0.005034396497811285,46.1347064631926,0.5347527262432844,46.9924095182715,0.5422327554002381
13,EC,Y = -4.708*X + 16.81,16.7221,16.8296,16.711,16.7981,16.8807,16.7936,,,,16.75423333333333,16.824133333333336,,16.789183333333334,0.034950000000002035,16.840433333333337,16.90543333333333,,16.872933333333336,0.03249999999999709,0.00442155196828080,0.00742353440951615,0.01,0.006903143585385957,0.234225364949158,0.3923365062795444,0.687530197543403,0.4714026938563361
14,BT,Y = -4.826*X + 20.31,14.9503,15.031,14.9339,15.0501,15.1985,14.9963,,,,14.971733333333333,15.081633333333334,,15.026683333333335,0.05495000000000072,15.921666666666667,15.930766666666669,,15.926216666666669,0.004550000000000942,1.09476101671502,0.011386241193535169,0.908367868490122,0.0009428097803565981,57.8549927762419,0.259878636728377,68.4514483580080,0.39793373551347666
14,LJ,Y = -3.937*X + 16.98,13.9743,14.082,13.9657,14.0422,14.0234,13.9714,,,,14.007333333333333,14.012333333333332,,14.009833333333333,0.0024999999999995026,15.357666666666667,15.384566666666666,,15.371116666666666,0.01344999999999974,0.754423842181018,0.0006350012700024137,0.408657183981035,0.003416306832613599,39.8691452044730,0.24354392992634535,30.7949863659350,0.24058827486727538
14,EC,Y = -4.708*X + 16.81,16.5767,16.6528,16.5676,16.6703,16.5706,16.6055,,,,16.599033333333335,16.615466666666666,,16.60725,0.008216666666665873,16.840433333333337,16.90543333333333,,16.872933333333336,0.03249999999999709,0.0430649957519116,0.001745256301330899,0.01,0.006903143585385957,2.27586201928518,0.09117036354611709,0.753565276057013,0.5162808292013541
15,BA,Y = -2.665*X + 14.77,12.3949,12.4326,12.3777,12.4664,12.5935,12.4265,,,,12.401733333333334,12.495466666666667,,12.4486,0.04686666666666639,12.4198,12.4946,,12.4572,0.03739999999999988,0.871069418386492,0.017585991244527727,0.867842401500938,0.014033771106941793,48.4258626702744,1.4443505814739954,58.1743545804357,0.6138104121043473
15,LJ,Y = -3.937*X + 16.98,13.5571,13.5635,13.5371,13.6736,13.7183,13.5737,,,,13.552566666666666,13.6552,,13.603883333333332,0.051316666666667565,14.523833333333334,14.6019,,14.562866666666668,0.03903333333333325,0.857535348404030,0.013034459402252367,0.613953094572856,0.009914486495639639,47.6734553414136,1.420244517802655,41.1553122521618,0.5823288583932188
15,EC,Y = -4.708*X + 16.81,16.2814,16.2058,16.266,16.6513,16.8568,16.6167,,,,16.251066666666667,16.708266666666667,,16.479666666666667,0.22860000000000014,16.840433333333337,16.90543333333333,,16.872933333333336,0.03249999999999709,0.0701642594165958,0.04855564995751915,0.01,0.006903143585385957,3.90068198831198,2.5945221075237375,0.670333167402547,0.4597035501583214
